SCIENTIFIC NAME,X,Y
Cedrelinga cateniformis,177040,9615336
Cedrelinga cateniformis,177028,9615344
Cedrelinga cateniformis,177997,9614149
Cedrelinga cateniformis,176748,9614672
Cedrelinga cateniformis,176658,9614544
Cedrelinga cateniformis,178607,9612936
Cedrelinga cateniformis,179232,9621676
Cedrelinga cateniformis,179231,9621612
Cedrelinga cateniformis,179815,9620871
Cedrelinga cateniformis,179777,9620821
Cedrelinga cateniformis,178275,9615070
Cedrelinga cateniformis,178047,9614984
Cedrelinga cateniformis,179903,9626196
Cedrelinga cateniformis,179884,9626214
Cedrelinga cateniformis,177060,9614275
Cedrelinga cateniformis,180774,9610489
Cedrelinga cateniformis,181963,9618423
Cedrelinga cateniformis,182366,9618144
Cedrelinga cateniformis,181880,9618425
Cedrelinga cateniformis,181294,9621435
Cedrelinga cateniformis,181416,9621255
Cedrelinga cateniformis,171077,9427443
Cedrelinga cateniformis,172079,9427489
Cedrelinga cateniformis,172342,9427660
Cedrelinga cateniformis,172338,9427644
Cedrelinga cateniformis,172123,9427859
Cedrelinga cateniformis,172041,9427793
Cedrelinga cateniformis,172095,9427751
Cedrelinga cateniformis,172229,9427679
Cedrelinga cateniformis,172254,9428051
Cedrelinga cateniformis,172072,9427465
Cedrelinga cateniformis,172199,9427773
Cedrelinga cateniformis,170829,9428085
Cedrelinga cateniformis,170871,9428094
Cedrelinga cateniformis,171473,9427628
Cedrelinga cateniformis,171075,9427466
Cedrelinga cateniformis,173663,9497106
Cedrelinga cateniformis,173656,9496908
Cedrelinga cateniformis,173284,9497046
Cedrelinga cateniformis,173080,9497138
Cedrelinga cateniformis,173093,9497085
Cedrelinga cateniformis,173298,9497151
Cedrelinga cateniformis,173906,9497703
Cedrelinga cateniformis,173567,9497586
Cedrelinga cateniformis,173308,9496208
Cedrelinga cateniformis,172983,9497082
Cedrelinga cateniformis,173677,9496860
Cedrelinga cateniformis,173168,9496217
Cedrelinga cateniformis,171768,9495279
Cedrelinga cateniformis,171759,9495287
Cedrelinga cateniformis,171682,9495441
Cedrelinga cateniformis,171603,9495971
Cedrelinga cateniformis,202403,9499575
Cedrelinga cateniformis,202324,9499704
Cedrelinga cateniformis,202294,9499701
Cedrelinga cateniformis,202308,9499782
Cedrelinga cateniformis,202281,9499896
Cedrelinga cateniformis,202400,9499769
Cedrelinga cateniformis,202608,9499788
Cedrelinga cateniformis,200358,9499277
Cedrelinga cateniformis,199755,9500097
Cedrelinga cateniformis,200386,9499487
Cedrelinga cateniformis,200375,9499430
Cedrelinga cateniformis,200480,9499413
Cedrelinga cateniformis,200503,9499224
Cedrelinga cateniformis,202116,9499970
Cedrelinga cateniformis,202126,9499971
Cedrelinga cateniformis,202272,9499901
Cedrelinga cateniformis,202384,9499773
Cedrelinga cateniformis,202400,9499773
Cedrelinga cateniformis,202581,9499737
Cedrelinga cateniformis,202402,9499584
Cedrelinga cateniformis,202310,9499769
Cedrelinga cateniformis,202313,9499782
Cedrelinga cateniformis,202306,9499693
Cedrelinga cateniformis,202074,9499353
Cedrelinga cateniformis,200636,9499437
Cedrelinga cateniformis,200488,9499410
Cedrelinga cateniformis,201197,9499476
Cedrelinga cateniformis,201672,9499708
Cedrelinga cateniformis,200938,9499719
Cedrelinga cateniformis,199268,9500138
Cedrelinga cateniformis,201880,9499100
Cedrelinga cateniformis,202218,9499350
Cedrelinga cateniformis,199813,9499849
Cedrelinga cateniformis,192855,9549251
Cedrelinga cateniformis,192706,9547340
Cedrelinga cateniformis,191780,9546897
Cedrelinga cateniformis,192134,9546792
Cedrelinga cateniformis,190559,9553657
Cedrelinga cateniformis,190561,9553654
Cedrelinga cateniformis,191938,9546652
Cedrelinga cateniformis,191712,9545926
Cedrelinga cateniformis,189191,9546204
Cedrelinga cateniformis,177835,9541469
Cedrelinga cateniformis,177746,9541470
Cedrelinga cateniformis,177595,9541720
Cedrelinga cateniformis,177626,9541754
Cedrelinga cateniformis,177778,9542138
Cedrelinga cateniformis,191506,9546917
Cedrelinga cateniformis,796480,9477888
Cedrelinga cateniformis,796206,9478161
Cedrelinga cateniformis,797033,9478829
